national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description
749,VII,Mudbray,Dorobanko,ground,,Donkey Pokémon,50.2,49.8,1,110,190,5120,70,100,70,45,55,45,Own Tempo,Stamina,,Inner Focus,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Mudbray,Level ,Mudsdale,,,,,,,,Loads weighing up to 50 times as much as its own body weight pose no issue for this Pokémon. It’s skilled at making use of mud.
750,VII,Mudsdale,Banbadoro,ground,,Draft Horse Pokémon,50.2,49.8,2.5,920,60,5120,100,125,100,55,85,35,Own Tempo,Stamina,,Inner Focus,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Mudbray,Level ,Mudsdale,,,,,,,,Mud that hardens around a Mudsdale’s legs sets harder than stone. It’s so hard that it allows this Pokémon to scrap a truck with a single kick.
751,VII,Dewpider,Shizukumo,water,bug,Water Bubble Pokémon,50.2,49.8,0.3,4,200,3840,38,40,52,40,72,27,Water Bubble,,,Water Absorb,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1,0,0,0,Dewpider,Level ,Araquanid,,,,,,,,It forms a water bubble at the rear of its body and then covers its head with it. Meeting another Dewpider means comparing water-bubble sizes.
752,VII,Araquanid,Onishizukumo,water,bug,Water Bubble Pokémon,50.2,49.8,1.8,82,100,3840,68,70,92,50,132,42,Water Bubble,,,Water Absorb,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1,0,0,0,Dewpider,Level ,Araquanid,,,,,,,,"It launches water bubbles with its legs, drowning prey within the bubbles. This Pokémon can then take its time to savor its meal."
753,VII,Fomantis,Karikiri,grass,,Sickle Grass Pokémon,50.2,49.8,0.3,1.5,190,5120,40,55,35,50,35,35,Leaf Guard,,,Contrary,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Fomantis,Level in Daytime,Lurantis,,,,,,,,"When bathed in sunlight, this Pokémon emits a pleasantly sweet scent, which causes bug Pokémon to gather around it."
754,VII,Lurantis,Lalantes,grass,,Bloom Sickle Pokémon,50.2,49.8,0.9,18.5,75,5120,70,105,90,80,90,45,Leaf Guard,,,Contrary,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Fomantis,Level in Daytime,Lurantis,,,,,,,,"This Pokémon resembles a beautiful flower. A properly raised Lurantis will have gorgeous, brilliant colors."
755,VII,Morelull,Nemasyu,grass,fairy,Illuminating Pokémon,50.2,49.8,0.2,1.5,190,5120,40,35,55,65,75,15,Illuminate,Effect Spore,,Rain Dish,1,2,0.5,0.5,0.5,2,0.5,4,0.5,2,1,1,1,1,0,0.5,2,1,0,0,0,Morelull,Level ,Shiinotic,,,,,,,,Pokémon living in the forest eat the delicious caps on Morelull’s head. The caps regrow overnight.
756,VII,Shiinotic,Mashade,grass,fairy,Illuminating Pokémon,50.2,49.8,1,11.5,75,5120,60,45,80,90,100,30,Illuminate,Effect Spore,,Rain Dish,1,2,0.5,0.5,0.5,2,0.5,4,0.5,2,1,1,1,1,0,0.5,2,1,0,0,0,Morelull,Level ,Shiinotic,,,,,,,,"Its flickering spores lure in prey and put them to sleep. Once this Pokémon has its prey snoozing, it drains their vitality with its fingertips."
757,VII,Salandit,Yatoumori,poison,fire,Toxic Lizard Pokémon,88.14,11.86,0.6,4.8,120,5120,48,44,40,71,40,77,Corrosion,,,Oblivious,1,0.5,2,1,0.25,0.5,0.5,0.5,4,1,2,0.25,2,1,1,1,0.5,0.25,0,0,0,Salandit,Female at Level ,Salazzle,,,,,,,,Its venom sacs produce a fluid that this Pokémon then heats up with the flame in its tail. This process creates Salandit’s poisonous gas.
758,VII,Salazzle,Ennewt,poison,fire,Toxic Lizard Pokémon,0,100,1.2,22.2,45,5120,68,64,60,111,60,117,Corrosion,,,Oblivious,1,0.5,2,1,0.25,0.5,0.5,0.5,4,1,2,0.25,2,1,1,1,0.5,0.25,0,0,0,Salandit,Female at Level ,Salazzle,,,,,,,,Only female Salazzle exist. They emit a gas laden with pheromones to captivate male Salandit.
759,VII,Stufful,Nuikoguma,normal,fighting,Flailing Pokémon,50.2,49.8,0.5,6.8,140,3840,70,75,50,45,50,50,Fluffy,Klutz,,Cute Charm,1,1,1,1,1,1,2,1,1,2,2,0.5,0.5,0,1,0.5,1,2,0,0,0,Stufful,Level ,Bewear,,,,,,,,"Its fluffy fur is a delight to pet, but carelessly reaching out to touch this Pokémon could result in painful retaliation."
760,VII,Bewear,Kiteruguma,normal,fighting,Strong Arm Pokémon,50.2,49.8,2.1,135,70,3840,120,125,80,55,60,60,Fluffy,Klutz,,Unnerve,1,1,1,1,1,1,2,1,1,2,2,0.5,0.5,0,1,0.5,1,2,0,0,0,Stufful,Level ,Bewear,,,,,,,,"Once it accepts you as a friend, it tries to show its affection with a hug. Letting it do that is dangerous—it could easily shatter your bones."
761,VII,Bounsweet,Amakaji,grass,,Fruit Pokémon,0,100,0.3,3.2,235,5120,42,30,38,30,38,32,Leaf Guard,Oblivious,,Sweet Veil,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Bounsweet,Level ,Steenee,Level up while knowing  Stomp,Tsareena,,,,,,"Its body gives off a sweet, fruity scent that is extremely appetizing to bird Pokémon."
762,VII,Steenee,Amamaiko,grass,,Fruit Pokémon,0,100,0.7,8.2,120,5120,52,40,48,40,48,62,Leaf Guard,Oblivious,,Sweet Veil,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Bounsweet,Level ,Steenee,Level up while knowing  Stomp,Tsareena,,,,,,"As it twirls like a dancer, a sweet smell spreads out around it. Anyone who inhales the scent will feel a surge of happiness."
763,VII,Tsareena,Amajo,grass,,Fruit Pokémon,0,100,1.2,21.4,45,5120,72,120,98,50,98,72,Leaf Guard,Queenly Majesty,,Sweet Veil,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Bounsweet,Level ,Steenee,Level up while knowing  Stomp,Tsareena,,,,,,"This feared Pokémon has long, slender legs and a cruel heart. It shows no mercy as it stomps on its opponents."
764,VII,Comfey,Cuwawa,fairy,,Posy Picker Pokémon,24.9,75.1,0.1,0.3,60,5120,51,52,90,82,110,100,Flower Veil,Triage,,Natural Cure,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Comfey,,,,,,,,,,"Comfey picks flowers with its vine and decorates itself with them. For some reason, flowers won’t wither once they’re attached to a Comfey."
765,VII,Oranguru,Yareyuutan,normal,psychic,Sage Pokémon,50.2,49.8,1.5,76,45,5120,90,60,80,90,110,60,Inner Focus,Telepathy,,Symbiosis,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,0,0,0,Oranguru,,,,,,,,,,With waves of its fan—made from leaves and its own fur—Oranguru skillfully gives instructions to other Pokémon.
766,VII,Passimian,Nagetukesaru,fighting,,Teamwork Pokémon,50.2,49.8,2,82.8,45,5120,100,120,90,40,60,80,Receiver,,,Defiant,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Passimian,,,,,,,,,,"Displaying amazing teamwork, they follow the orders of their boss as they all help out in the search for their favorite berries."
767,VII,Wimpod,Kosokumushi,bug,water,Turn Tail Pokémon,50.2,49.8,0.5,12,90,5120,25,35,40,20,30,80,Wimp Out,,,,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1,0,0,0,Wimpod,Level ,Golisopod,,,,,,,,"It’s nature’s cleaner—it eats anything and everything, including garbage and rotten things. The ground near its nest is always clean."
768,VII,Golisopod,Gusokumusha,bug,water,Hard Scale Pokémon,50.2,49.8,2,108,45,5120,75,125,140,60,90,40,Emergency Exit,,,,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1,0,0,0,Wimpod,Level ,Golisopod,,,,,,,,"It will do anything to win, taking advantage of every opening and finishing opponents off with the small claws on its front legs."
769,VII,Sandygast,Sunaba,ghost,ground,Sand Heap Pokémon,50.2,49.8,0.5,70,140,3840,55,55,80,70,45,15,Water Compaction,,,Sand Veil,0,1,2,0,2,2,0,0.25,1,1,1,0.5,0.5,2,1,2,1,1,0,0,0,Sandygast,Level ,Palossand,,,,,,,,Grudges of the dead have possessed a mound of sand and become a Pokémon. Sandygast is fond of the shovel on its head.
770,VII,Palossand,Sirodethna,ghost,ground,Sand Castle Pokémon,50.2,49.8,1.3,250,60,3840,85,75,110,100,75,35,Water Compaction,,,Sand Veil,0,1,2,0,2,2,0,0.25,1,1,1,0.5,0.5,2,1,2,1,1,0,0,0,Sandygast,Level ,Palossand,,,,,,,,"Palossand is known as the Beach Nightmare. It pulls its prey down into the sand by controlling the sand itself, and then it sucks out their souls."
771,VII,Pyukumuku,Namakobushi,water,,Sea Cucumber Pokémon,50.2,49.8,0.3,1.2,60,3840,55,60,130,30,130,5,Innards Out,,,Unaware,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Pyukumuku,,,,,,,,,,"It lives in warm, shallow waters. If it encounters a foe, it will spit out its internal organs as a means to punch them."
772,VII,Type: Null,Type: Null,normal,,Synthetic Pokémon,,,1.9,120.5,3,30720,95,95,95,95,95,59,Battle Armor,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,Type: Null,Level Up with Happiness Value at 220,Silvally,,,,,,,,Rumor has it that the theft of top-secret research notes led to a new instance of this Pokémon being created in the Galar region.
773,VII,Silvally,Silvady,normal,,Synthetic Pokémon,,,2.3,100.5,3,30720,95,95,95,95,95,95,RKS System,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,Type: Null,Level Up with Happiness Value at 220,Silvally,,,,,,,,A solid bond of trust between this Pokémon and its Trainer awakened the strength hidden within Silvally. It can change its type at will.
774,VII,Minior,Meteno,rock,flying,Meteor Pokémon,,,0.3,40,30 (Meteorite)255 (Core),6400,60,60,100,60,100,60,Shields Down,,,,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1,0,0,0,Minior,,,,,,,,,,"It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground."
775,VII,Komala,Nekkoara,normal,,Drowsing Pokémon,50,50,0.4,19.9,45,5120,65,115,65,75,95,65,Comatose,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Komala,,,,,,,,,,"It stays asleep from the moment it’s born. When it falls into a deep sleep, it stops moving altogether."
776,VII,Turtonator,Bakugames,fire,dragon,Blast Turtle Pokémon,50.2,49.8,2,212,70,5120,60,78,135,91,85,36,Shell Armor,,,,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1,0,0,0,Turtonator,,,,,,,,,,Explosive substances coat the shell on its back. Enemies that dare attack it will be blown away by an immense detonation.
777,VII,Togedemaru,Togedemaru,electric,steel,Roly-Poly Pokémon,50.2,49.8,0.3,3.3,180,2560,65,98,63,40,73,96,Iron Barbs,Lightning Rod,,Sturdy,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,0,0,0,Togedemaru,,,,,,,,,,"With the long hairs on its back, this Pokémon takes in electricity from other electric Pokémon. It stores what it absorbs in an electric sac."
778,VII,Mimikyu,Mimikkyu,ghost,fairy,Disguise Pokémon,50.2,49.8,0.2,0.7,45,5120,55,90,80,50,105,96,Disguise,,,,0,1,1,1,1,1,0,1,1,1,1,0.25,1,2,0,1,2,1,0,0,0,Mimikyu,,,,,,,,,,"It wears a rag fashioned into a Pikachu costume in an effort to look less scary. Unfortunately, the costume only makes it creepier."
779,VII,Bruxish,Hagigishiri,water,psychic,Gnash Teeth Pokémon,50,50,0.9,19,80,3840,68,105,70,70,70,92,Dazzling,Strong Jaw,,Wonder Skin,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,0,0,0,Bruxish,,,,,,,,,,"It burrows beneath the sand, radiating psychic power from the protuberance on its head. It waits for prey as it surveys the area."
780,VII,Drampa,Jijilong,normal,dragon,Placid Pokémon,50.2,49.8,3,185,70,5120,78,60,85,135,91,36,Berserk,Sap Sipper,,Cloud Nine,1,0.5,0.5,0.5,0.5,2,2,1,1,1,1,1,1,0,2,1,1,2,0,0,0,Drampa,,,,,,,,,,"The mountains it calls home are nearly two miles in height. On rare occasions, it descends to play with the children living in the towns below."
781,VII,Dhelmise,Dadarin,ghost,grass,Sea Creeper Pokémon,,,3.9,210,25,6400,70,131,100,86,90,40,Steelworker,,,,0,2,0.5,0.5,0.5,2,0,1,0.5,2,1,1,1,2,1,2,1,1,0,0,0,Dhelmise,,,,,,,,,,"After a piece of seaweed merged with debris from a sunken ship, it was reborn as this ghost Pokémon."
782,VII,Jangmo-o,Jyarako,dragon,,Scaly Pokémon,50.2,49.8,0.6,29.7,45,10240,45,55,65,45,45,45,Bulletproof,Soundproof,,Overcoat,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,0,0,0,Jangmo-o,Level ,Hakamo-o,Level ,Kommo-o,,,,,,They learn to fight by smashing their head scales together. The dueling strengthens both their skills and their spirits.
783,VII,Hakamo-o,Jyarango,dragon,fighting,Scaly Pokémon,50.2,49.8,1.2,47,45,10240,55,75,90,65,70,65,Bulletproof,Soundproof,,Overcoat,1,0.5,0.5,0.5,0.5,2,1,1,1,2,2,0.5,0.5,1,2,0.5,1,4,0,0,0,Jangmo-o,Level ,Hakamo-o,Level ,Kommo-o,,,,,,"The scaleless, scarred parts of its body are signs of its strength. It shows them off to defeated opponents."
784,VII,Kommo-o,Jyararanga,dragon,fighting,Scaly Pokémon,50.2,49.8,1.6,78.2,45,10240,75,110,125,100,105,85,Bulletproof,Soundproof,,Overcoat,1,0.5,0.5,0.5,0.5,2,1,1,1,2,2,0.5,0.5,1,2,0.5,1,4,0,0,0,Jangmo-o,Level ,Hakamo-o,Level ,Kommo-o,,,,,,It clatters its tail scales to unnerve opponents. This Pokémon will battle only those who stand steadfast in the face of this display.
785,VII,Tapu Koko,Kapu-kokeko,electric,fairy,Land Spirit Pokémon,,,1.8,20.5,3,3840,70,115,85,95,75,130,Electric Surge,,,Telepathy,1,1,1,0.5,1,1,0.5,2,2,0.5,1,0.5,1,1,0,0.5,1,1,1,0,0,Tapu Koko,,,,,,,,,,"Although it’s called a guardian deity, if a person or Pokémon puts it in a bad mood, it will become a malevolent deity and attack."
786,VII,Tapu Lele,Kapu-tetefu,psychic,fairy,Land Spirit Pokémon,,,1.2,18.6,3,3840,70,85,75,130,115,95,Psychic Surge,,,Telepathy,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,1,0,0,Tapu Lele,,,,,,,,,,It heals the wounds of people and Pokémon by sprinkling them with its sparkling scales. This guardian deity is worshiped on Akala.
787,VII,Tapu Bulu,Kapu-bulul,grass,fairy,Land Spirit Pokémon,,,1.9,45.5,3,3840,70,130,115,85,95,75,Grassy Surge,,,Telepathy,1,2,0.5,0.5,0.5,2,0.5,4,0.5,2,1,1,1,1,0,0.5,2,1,1,0,0,Tapu Bulu,,,,,,,,,,"Although it’s called a guardian deity, it’s violent enough to crush anyone it sees as an enemy."
788,VII,Tapu Fini,Kapu-rehire,water,fairy,Land Spirit Pokémon,,,1.3,21.2,3,3840,70,75,115,95,130,85,Misty Surge,,,Telepathy,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,1,0,0,Tapu Fini,,,,,,,,,,"This guardian deity of Poni Island manipulates water. Because it lives deep within a thick fog, it came to be both feared and revered."
789,VII,Cosmog,Cosmog,psychic,,Nebula Pokémon,,,0.2,0.1,45,30720,43,29,31,29,31,37,Unaware,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,1,0,Cosmog,Level,Cosmoem,Level 53 in Specific Game,Solgaleo,Level 53 in Specific Game,Lunala,,,,"Even though its helpless, gaseous body can be blown away by the slightest breeze, it doesn’t seem to care."
790,VII,Cosmoem,Cosmovum,psychic,,Protostar Pokémon,,,0.1,999.9,45,30720,43,29,131,29,131,37,Sturdy,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,1,0,Cosmog,Level,Cosmoem,Level 53 in Specific Game,Solgaleo,Level 53 in Specific Game,Lunala,,,,The king who ruled Alola in times of antiquity called it the “cocoon of the stars” and built an altar to worship it.
791,VII,Solgaleo,Solgaleo,psychic,steel,Sunne Pokémon,,,3.4,230,45,30720,137,137,107,113,89,97,Full Metal Body,,,,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,0,1,0,Cosmog,Level,Cosmoem,Level 53 in Specific Game,Solgaleo,Level 53 in Specific Game,Lunala,,,,Sometimes the result of its opening an Ultra Wormhole is that energy and life-forms from other worlds are called here to this world.
792,VII,Lunala,Lunala,psychic,ghost,Moone Pokémon,,,4,120,45,30720,137,113,89,137,107,97,Shadow Shield,,,,0,1,1,1,1,1,0,0.5,1,1,0.5,1,1,4,1,4,1,1,0,1,0,Cosmog,Level,Cosmoem,Level 53 in Specific Game,Solgaleo,Level 53 in Specific Game,Lunala,,,,"Records of it exist in writings from long, long ago, where it was known by the name “the beast that calls the moon.”"
793,VII,Nihilego,Uturoid,rock,poison,Parasite Pokémon,,,1.2,55.5,45,30720,109,53,47,127,131,103,Beast Boost,,,,0.5,0.5,2,1,1,1,1,0.25,4,0.5,2,0.5,1,1,1,1,2,0.5,1,0,0,Nihilego,,,,,,,,,,"A life-form from another world, it was dubbed a UB and is thought to produce a strong neurotoxin."
794,VII,Buzzwole,Massivoon,bug,fighting,Swollen Pokémon,,,2.4,333.6,45,30720,107,139,139,53,53,79,Beast Boost,,,,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,1,0,0,Buzzwole,,,,,,,,,,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives."
795,VII,Pheromosa,Pheroache,bug,fighting,Lissome Pokémon,,,1.8,25,45,30720,71,137,37,137,37,151,Beast Boost,,,,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,1,0,0,Pheromosa,,,,,,,,,,"A life-form that lives in another world, its body is thin and supple, but it also possesses great power."
796,VII,Xurkitree,Denjyumoku,electric,,Glowing Pokémon,,,3.8,100,45,30720,83,89,71,173,71,83,Beast Boost,,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1,0,0,Xurkitree,,,,,,,,,,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives."
797,VII,Celesteela,Tekkaguya,steel,flying,Launch Pokémon,,,9.2,999.9,45,30720,97,101,103,107,101,61,Beast Boost,,,,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,1,0,0,Celesteela,,,,,,,,,,"One of the dangerous UBs, high energy readings can be detected coming from both of its huge arms."
798,VII,Kartana,Kamiturugi,grass,steel,Drawn Sword Pokémon,,,0.3,0.1,45,30720,59,181,131,59,31,109,Beast Boost,,,,0.5,4,0.5,0.5,0.25,1,2,0,1,1,0.5,1,0.5,1,0.5,1,0.5,0.5,1,0,0,Kartana,,,,,,,,,,"This Ultra Beast’s body, which is as thin as paper, is like a sharpened sword."
799,VII,Guzzlord,Akuziking,dark,dragon,Junkivore Pokémon,,,5.5,888,45,30720,223,101,53,97,53,43,Beast Boost,,,,1,0.5,0.5,0.5,0.5,2,2,1,1,1,0,2,1,0.5,2,0.5,1,4,1,0,0,Guzzlord,,,,,,,,,,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives."
800,VII,Necrozma,Necrozma,psychic,psychic,Prism Pokémon,,,2.4,230,255,30720,97,107,101,127,89,79,Prism Armor,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,1,0,Necrozma,,,,,,,,,,"It looks somehow pained as it rages around in search of light, which serves as its energy. It’s apparently from another world."
801,VII,Magearna,Magearna,steel,fairy,Artificial Pokémon,,,1,80.5,3,30720,80,95,115,130,115,65,Soul-Heart,,,,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5,0,0,1,Magearna,,,,,,,,,,It synchronizes its consciousness with others to understand their feelings. This faculty makes it useful for taking care of people.
802,VII,Marshadow,Marshadow,fighting,ghost,Gloomdweller Pokémon,,,0.7,22.2,3,30720,90,125,80,90,90,125,Technician,,,,0,1,1,1,1,1,0,0.5,1,2,2,0.25,0.5,2,1,1,1,2,0,0,1,Marshadow,,,,,,,,,,"It slips into the shadows of others and mimics their powers and movements. As it improves, it becomes stronger than those it’s imitating."
803,VII,Poipole,Bevenom,poison,,Poison Pin Pokémon,,,0.6,1.8,45,30720,67,73,67,73,67,73,Beast Boost,,,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,1,0,0,Poipole,Level up while knowing  Dragon Pulse,Naganadel,,,,,,,,This Ultra Beast is well enough liked to be chosen as a first partner in its own world.
804,VII,Naganadel,Agoyon,poison,dragon,Poison Pin Pokémon,,,3.6,150,45,30720,73,73,73,127,73,121,Beast Boost,,,,1,0.5,0.5,0.5,0.25,2,0.5,0.5,2,1,2,0.5,1,1,2,1,1,1,1,0,0,Poipole,Level up while knowing  Dragon Pulse,Naganadel,,,,,,,,It stores hundreds of liters of poisonous liquid inside its body. It is one of the organisms known as UBs.
805,VII,Stakataka,Tsundetsunde,rock,steel,Rampart Pokémon,,,5.5,820,30,30720,61,131,211,53,101,13,Beast Boost,,,,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,1,0,0,Stakataka,,,,,,,,,,It appeared from an Ultra Wormhole. Each one appears to be made up of many life-forms stacked one on top of each other.
806,VII,Blacephalon,Zugadon,fire,ghost,Fireworks Pokémon,,,1.8,13,30,30720,53,127,53,151,79,107,Beast Boost,,,,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5,1,0,0,Blacephalon,,,,,,,,,,"It slithers toward people. Then, without warning, it triggers the explosion of its own head. It’s apparently one kind of Ultra Beast."
807,VII,Zeraora,Zeraora,electric,,Thunderclap Pokémon,,,1.5,44.5,3,30720,88,112,75,102,80,143,Volt Absorb,,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,1,Zeraora,,,,,,,,,,"It electrifies its claws and tears its opponents apart with them. Even if they dodge its attack, they’ll be electrocuted by the flying sparks."
808,VII,Meltan,Meltan,steel,,Hex Nut Pokémon,,,0.2,8,3,30720,46,65,65,55,35,34,Magnet Pull,,,,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,1,Meltan,400 Candy in Pokémon GO,Melmetal,,,,,,,,"It melts particles of iron and other metals found in the subsoil, so it can absorb them into its body of molten steel."
809,VII,Melmetal,Melmetal,steel,,Hex Nut Pokémon,,,2.5,800,3,30720,135,143,143,80,65,34,Iron Fist,,,,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0,0,Meltan,400 Candy in Pokémon GO,Melmetal,,,,,Gigantamax Melmetal,,,"At the end of its life-span, Melmetal will rust and fall apart. The small shards left behind will eventually be reborn as Meltan."
810,VIII,Grookey,Sarunori,grass,,Chimp Pokémon,88.14,11.86,0.3,5,45,5120,50,65,50,40,40,65,Overgrow,,,Grassy Surge,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Grookey,Level ,Thwackey,Level ,Rillaboom,,,,,,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area."
811,VIII,Thwackey,Bachinki,grass,,Beat Pokémon,88.14,11.86,0.7,14,45,5120,70,85,70,55,60,80,Overgrow,,,Grassy Surge,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Grookey,Level ,Thwackey,Level ,Rillaboom,,,,,,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers."
812,VIII,Rillaboom,Gorilander,grass,,Drummer Pokémon,88.14,11.86,2.1,90,45,5120,100,125,90,60,70,85,Overgrow,,,Grassy Surge,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Grookey,Level ,Thwackey,Level ,Rillaboom,,,Gigantamax Rillaboom,,,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle."
813,VIII,Scorbunny,Hibanny,fire,,Rabbit Pokémon,88.14,11.86,0.3,4.5,45,5120,50,71,40,40,40,69,Blaze,,,Libero,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Scorbunny,Level ,Raboot,Level ,Cinderace,,,,,,"A warm-up of running around gets fire energy coursing through this Pokémon’s body. Once that happens, it’s ready to fight at full power."
814,VIII,Raboot,Rabbifoot,fire,,Rabbit Pokémon,88.14,11.86,0.6,9,45,5120,65,86,60,55,60,94,Blaze,,,Libero,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Scorbunny,Level ,Raboot,Level ,Cinderace,,,,,,Its thick and fluffy fur protects it from the cold and enables it to use hotter fire moves.
815,VIII,Cinderace,Aceburn,fire,,Striker Pokémon,88.14,11.86,1.4,33,45,5120,80,116,75,65,75,119,Blaze,,,Libero,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Scorbunny,Level ,Raboot,Level ,Cinderace,,,Gigantamax Cinderace,,,"It juggles a pebble with its feet, turning it into a burning soccer ball. Its shots strike opponents hard and leave them scorched."
816,VIII,Sobble,Messon,water,,Water Lizard Pokémon,88.14,11.86,0.3,4,45,5120,50,40,40,70,40,70,Torrent,,,Sniper,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Sobble,Level ,Drizzile,Level ,Inteleon,,,,,,"When scared, this Pokémon cries. Its tears pack the chemical punch of 100 onions, and attackers won’t be able to resist weeping."
817,VIII,Drizzile,Jimeleon,water,,Water Lizard Pokémon,88.14,11.86,0.7,11.5,45,5120,65,60,55,95,55,90,Torrent,,,Sniper,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Sobble,Level ,Drizzile,Level ,Inteleon,,,,,,"A clever combatant, this Pokémon battles using water balloons created with moisture secreted from its palms."
